Year,Month,Location,Type,Employment
2007,April,Vermont,Real estate and rental and leasing,3199.0
2007,April,Vermont,Professional and Business Services supersector,22093.0
2007,April,Vermont,Professional and technical services,13350.0
2007,April,Vermont,Management of companies and enterprises,348.0
2007,April,Vermont,Administrative and waste services,8395.0
2007,April,Vermont,Education and Health Services supersector,53020.0
2007,April,Vermont,Educational services,9443.0
2007,April,Vermont,Health care and social assistance,43577.0
2007,April,Vermont,Leisure and Hospitality supersector,29761.0
2007,April,Vermont,"Arts, entertainment, and recreation",3337.0
2007,April,Vermont,Accommodation and food services,26424.0
2007,April,Vermont,"Other services, except public administration supersector",8801.0
2007,April,Vermont,Unspecified industry supersector,
2007,April,Vermont,Federal Government,5837.0
2007,April,Vermont,State government,16559.0
2007,April,Vermont,Local government,31315.0
2008,April,Vermont,Total Covered -  all ownerships,299188.0
2008,April,Vermont,Private ownership,245184.0
2008,April,Vermont,Goods Producing domain,52388.0
2008,April,Vermont,Natural Resources and Mining supersector,3069.0
2008,April,Vermont,"Agriculture, forestry, fishing and hunting",2345.0
2008,April,Vermont,Mining,724.0
2008,April,Vermont,Construction supersector,14243.0
2008,April,Vermont,Manufacturing supersector,35076.0
2008,April,Vermont,Durable Goods manufacturing,25549.0
2008,April,Vermont,Non-Durable Goods manufacturing,9527.0
2008,April,Vermont,Service Providing domain,192796.0
2008,April,Vermont,"Trade, Transportation, and Utilities supersector",58014.0
2008,April,Vermont,Wholesale trade,10282.0
2008,April,Vermont,Retail trade,39361.0
2008,April,Vermont,Transportation and warehousing,6637.0
2008,April,Vermont,Utilities,1734.0
2008,April,Vermont,Information supersector,5768.0
2008,April,Vermont,Financial Activities supersector,12494.0
2008,April,Vermont,Finance and insurance,9324.0
2008,April,Vermont,Real estate and rental and leasing,3170.0
2008,April,Vermont,Professional and Business Services supersector,22404.0
2008,April,Vermont,Professional and technical services,13431.0
2008,April,Vermont,Management of companies and enterprises,282.0
2008,April,Vermont,Administrative and waste services,8691.0
2008,April,Vermont,Education and Health Services supersector,54711.0
2008,April,Vermont,Educational services,9733.0
2008,April,Vermont,Health care and social assistance,44978.0
2008,April,Vermont,Leisure and Hospitality supersector,30510.0
2008,April,Vermont,"Arts, entertainment, and recreation",3343.0
2008,April,Vermont,Accommodation and food services,27167.0
2008,April,Vermont,"Other services, except public administration supersector",8895.0
2008,April,Vermont,Unspecified industry supersector,
2008,April,Vermont,Federal Government,6063.0
2008,April,Vermont,State government,16711.0
2008,April,Vermont,Local government,31230.0
2009,April,Vermont,Total Covered -  all ownerships,288349.0
2009,April,Vermont,Private ownership,233238.0
2009,April,Vermont,Goods Producing domain,46460.0
2009,April,Vermont,Natural Resources and Mining supersector,3062.0
2009,April,Vermont,"Agriculture, forestry, fishing and hunting",2396.0
2009,April,Vermont,Mining,666.0
2009,April,Vermont,Construction supersector,12433.0
2009,April,Vermont,Manufacturing supersector,30965.0
2009,April,Vermont,Durable Goods manufacturing,22105.0
2009,April,Vermont,Non-Durable Goods manufacturing,8860.0
2009,April,Vermont,Service Providing domain,186778.0
2009,April,Vermont,"Trade, Transportation, and Utilities supersector",54823.0
2009,April,Vermont,Wholesale trade,9689.0
2009,April,Vermont,Retail trade,37219.0
